experimentName,articleId,topology,meanDualGap,meanAgreement,meanDiscreteMI,meanContinuousMI
T2d_H_polarized_ozone_stratosphere_specialist,polar_bears,polarized,1.4459,0.3345,1.5405,0.0946
T2d_H_polarized_science_journalist,scopex_2017,polarized,0.6374,1,0.6696,0.0322
T2d_H_polarized_science_journalist,chemtrails_gates_2018_2021,polarized,0,,0,0
T2d_H_polarized_science_journalist,sai_geoengineering,polarized,1.0566,0.8708,1.0849,0.0472
T2d_H_polarized_science_journalist,paris_agreement,polarized,0.5017,0.723,0.8017,0.3121
T2d_H_polarized_science_journalist,climate_consensus,polarized,0.9,0.5332,0.9304,0.0304
T2d_H_polarized_science_journalist,polar_bears,polarized,0.9917,,0.9917,0
T2d_H_random_er_biodiversity_food_security,scopex_2017,random_er,,,,
T2d_H_random_er_biodiversity_food_security,chemtrails_gates_2018_2021,random_er,1.0194,0.9851,2.0069,0.9875
T2d_H_random_er_biodiversity_food_security,sai_geoengineering,random_er,,,,
T2d_H_random_er_biodiversity_food_security,paris_agreement,random_er,0.4082,0.8062,0.415,0.0204
T2d_H_random_er_biodiversity_food_security,climate_consensus,random_er,1.2622,0.9402,1.9301,0.6958
T2d_H_random_er_biodiversity_food_security,polar_bears,random_er,0.9613,,0.9577,0.0035
T2d_H_random_er_climate_action_advocate,scopex_2017,random_er,,,,
T2d_H_random_er_climate_action_advocate,chemtrails_gates_2018_2021,random_er,0.9854,0.9914,1.9781,0.9927
T2d_H_random_er_climate_action_advocate,sai_geoengineering,random_er,1.073,0.6569,1.1168,0.0584
T2d_H_random_er_climate_action_advocate,paris_agreement,random_er,0.3694,1,0.3955,0.0261
T2d_H_random_er_climate_action_advocate,climate_consensus,random_er,,,,
T2d_H_random_er_climate_action_advocate,polar_bears,random_er,0.9394,,0.9394,0
T2d_H_random_er_climate_justice_youth,scopex_2017,random_er,1.6942,0.5173,2.4388,0.8237
T2d_H_random_er_climate_justice_youth,chemtrails_gates_2018_2021,random_er,1.0106,0.9918,2,0.9894
T2d_H_random_er_climate_justice_youth,sai_geoengineering,random_er,0.6204,,0.6204,0
T2d_H_random_er_climate_justice_youth,paris_agreement,random_er,0.1221,,0.1221,0
T2d_H_random_er_climate_justice_youth,climate_consensus,random_er,1.4074,0.8906,1.7333,0.3259
T2d_H_random_er_climate_justice_youth,polar_bears,random_er,1.0234,,1.0234,0
T2d_H_random_er_climate_scientist,scopex_2017,random_er,0,,0,0
T2d_H_random_er_climate_scientist,chemtrails_gates_2018_2021,random_er,0.0085,,0.0085,0
T2d_H_random_er_climate_scientist,sai_geoengineering,random_er,1.4043,0.9186,1.4174,0.013
T2d_H_random_er_climate_scientist,paris_agreement,random_er,1,,1,0
T2d_H_random_er_climate_scientist,climate_consensus,random_er,0.6667,,0.6667,0
T2d_H_random_er_climate_scientist,polar_bears,random_er,1.9231,,1.9231,0
T2d_H_random_er_conspiracy_believer,scopex_2017,random_er,2.732,0.1987,4.3204,1.6175
T2d_H_random_er_conspiracy_believer,chemtrails_gates_2018_2021,random_er,1.6607,0.7332,4.3214,2.7083
T2d_H_random_er_conspiracy_believer,sai_geoengineering,random_er,1.7364,0.669,1.8384,0.2333
T2d_H_random_er_conspiracy_believer,paris_agreement,random_er,1.5,,5,3.5
T2d_H_random_er_conspiracy_believer,climate_consensus,random_er,0,,5,5
T2d_H_random_er_conspiracy_believer,polar_bears,random_er,0,,0,0
T2d_H_random_er_conspiracy_climate_piggyback,scopex_2017,random_er,1.2699,0.2391,2.7312,1.6871
T2d_H_random_er_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,random_er,1.5089,0.7837,4.4889,3.0111
T2d_H_random_er_conspiracy_climate_piggyback,sai_geoengineering,random_er,1.8529,0.6043,2.6176,0.7941
T2d_H_random_er_conspiracy_climate_piggyback,paris_agreement,random_er,,,,
T2d_H_random_er_conspiracy_climate_piggyback,climate_consensus,random_er,,,,
T2d_H_random_er_conspiracy_climate_piggyback,polar_bears,random_er,1.473,0.4994,2.1081,0.7703
T2d_H_random_er_conspiracy_depopulation,scopex_2017,random_er,1.9504,0.2509,2.6612,0.9339
T2d_H_random_er_conspiracy_depopulation,chemtrails_gates_2018_2021,random_er,0.9367,0.6558,3.9531,3.1711
T2d_H_random_er_conspiracy_depopulation,sai_geoengineering,random_er,1.0437,0.7597,1.0556,0.0278
T2d_H_random_er_conspiracy_depopulation,paris_agreement,random_er,1.7832,-0.2171,4.5462,3.0185
T2d_H_random_er_conspiracy_depopulation,climate_consensus,random_er,0.1724,0.9544,4.9224,4.8103
T2d_H_random_er_conspiracy_depopulation,polar_bears,random_er,,,,
T2d_H_random_er_conspiracy_haarp_weather,scopex_2017,random_er,1.3568,0.4468,2.1164,1.1774
T2d_H_random_er_conspiracy_haarp_weather,chemtrails_gates_2018_2021,random_er,0.9633,0.8464,3.9609,3.0523
T2d_H_random_er_conspiracy_haarp_weather,sai_geoengineering,random_er,1.0815,0.5623,1.5333,0.5704
T2d_H_random_er_conspiracy_haarp_weather,paris_agreement,random_er,1.224,0.2248,4.5969,3.6519
T2d_H_random_er_conspiracy_haarp_weather,climate_consensus,random_er,0.0144,,4.9856,5
T2d_H_random_er_conspiracy_haarp_weather,polar_bears,random_er,,,,
T2d_H_random_er_environmental_concern,scopex_2017,random_er,0.0236,1,0.0377,0.0236
T2d_H_random_er_environmental_concern,chemtrails_gates_2018_2021,random_er,1.1108,0.8505,1.8468,0.736
T2d_H_random_er_environmental_concern,sai_geoengineering,random_er,1.1737,0.9375,1.1895,0.0263
T2d_H_random_er_environmental_concern,paris_agreement,random_er,,,,
T2d_H_random_er_environmental_concern,climate_consensus,random_er,,,,
T2d_H_random_er_environmental_concern,polar_bears,random_er,0.6463,,0.6463,0
T2d_H_random_er_mitigation_first_policy,scopex_2017,random_er,0.3712,1,0.3729,0.0017
T2d_H_random_er_mitigation_first_policy,chemtrails_gates_2018_2021,random_er,0.1471,1,0.2017,0.0546
T2d_H_random_er_mitigation_first_policy,sai_geoengineering,random_er,1.1485,,1.1485,0
T2d_H_random_er_mitigation_first_policy,paris_agreement,random_er,1.4057,0.5946,1.4262,0.0205
T2d_H_random_er_mitigation_first_policy,climate_consensus,random_er,0.5805,0.6124,0.5847,0.0042
T2d_H_random_er_mitigation_first_policy,polar_bears,random_er,0.7917,,0.7917,0
T2d_H_random_er_ozone_stratosphere_specialist,scopex_2017,random_er,,,,
T2d_H_random_er_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,random_er,1.1268,0.9105,1.9764,0.8496
T2d_H_random_er_ozone_stratosphere_specialist,sai_geoengineering,random_er,,,,
T2d_H_random_er_ozone_stratosphere_specialist,paris_agreement,random_er,,,,
T2d_H_random_er_ozone_stratosphere_specialist,climate_consensus,random_er,0.8894,0.6124,0.8942,0.0048
T2d_H_random_er_ozone_stratosphere_specialist,polar_bears,random_er,0.7742,0.0559,0.7984,0.0323
T2d_H_random_er_science_journalist,scopex_2017,random_er,,,,
T2d_H_random_er_science_journalist,chemtrails_gates_2018_2021,random_er,0.1105,1,0.1278,0.0203
T2d_H_random_er_science_journalist,sai_geoengineering,random_er,0.8962,1,0.8846,0.0269
T2d_H_random_er_science_journalist,paris_agreement,random_er,0.7273,,0.7273,0
T2d_H_random_er_science_journalist,climate_consensus,random_er,0.625,,0.625,0
T2d_H_random_er_science_journalist,polar_bears,random_er,1,,1,0
T2d_H_ring_biodiversity_food_security,scopex_2017,ring,1,,1,0
T2d_H_ring_biodiversity_food_security,chemtrails_gates_2018_2021,ring,1,1,2,1
T2d_H_ring_biodiversity_food_security,sai_geoengineering,ring,1.75,,1.75,0
T2d_H_ring_biodiversity_food_security,paris_agreement,ring,0.5714,,0.4286,0.1429
T2d_H_ring_biodiversity_food_security,climate_consensus,ring,0.5,,0.5,0
T2d_H_ring_biodiversity_food_security,polar_bears,ring,1.75,,1.75,0
T2d_H_ring_climate_action_advocate,scopex_2017,ring,1,,1,0
T2d_H_ring_climate_action_advocate,chemtrails_gates_2018_2021,ring,1.0375,0.9844,2,0.9625
T2d_H_ring_climate_action_advocate,sai_geoengineering,ring,1,0.75,1.25,0.25
T2d_H_ring_climate_action_advocate,paris_agreement,ring,1,,0,1
T2d_H_ring_climate_action_advocate,climate_consensus,ring,1.1875,1,1.5,0.3125
T2d_H_ring_climate_action_advocate,polar_bears,ring,1.25,,1.25,0
T2d_H_ring_climate_justice_youth,scopex_2017,ring,2.5,0.3972,2.875,0.375
T2d_H_ring_climate_justice_youth,chemtrails_gates_2018_2021,ring,1.0625,0.9515,2,0.9375
T2d_H_ring_climate_justice_youth,sai_geoengineering,ring,0.75,,0.75,0
T2d_H_ring_climate_justice_youth,paris_agreement,ring,0.5,,0.5,0
T2d_H_ring_climate_justice_youth,climate_consensus,ring,1,,1,0
T2d_H_ring_climate_justice_youth,polar_bears,ring,1.125,,1.125,0
T2d_H_ring_climate_scientist,scopex_2017,ring,0,,0,0
T2d_H_ring_climate_scientist,chemtrails_gates_2018_2021,ring,0,,0,0
T2d_H_ring_climate_scientist,sai_geoengineering,ring,0,,0,0
T2d_H_ring_climate_scientist,paris_agreement,ring,0.625,0.6124,0.75,0.125
T2d_H_ring_climate_scientist,climate_consensus,ring,0.75,,0.75,0
T2d_H_ring_climate_scientist,polar_bears,ring,2,,2,0
T2d_H_ring_conspiracy_believer,scopex_2017,ring,1.625,0.8889,3.75,2.375
T2d_H_ring_conspiracy_believer,chemtrails_gates_2018_2021,ring,1,1,4,3
T2d_H_ring_conspiracy_believer,sai_geoengineering,ring,2,,2,0
T2d_H_ring_conspiracy_believer,paris_agreement,ring,,,,
T2d_H_ring_conspiracy_believer,climate_consensus,ring,0,,5,5
T2d_H_ring_conspiracy_believer,polar_bears,ring,0.625,,1.875,1.25
T2d_H_ring_conspiracy_climate_piggyback,scopex_2017,ring,3,,3,0
T2d_H_ring_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,ring,0.625,0.7361,3.75,3.25
T2d_H_ring_conspiracy_climate_piggyback,sai_geoengineering,ring,1.125,,1.125,0
T2d_H_ring_conspiracy_climate_piggyback,paris_agreement,ring,1.275,0.3739,2.625,1.65
T2d_H_ring_conspiracy_climate_piggyback,climate_consensus,ring,0,,5,5
T2d_H_ring_conspiracy_climate_piggyback,polar_bears,ring,0.625,,0.625,0
T2d_H_ring_conspiracy_depopulation,scopex_2017,ring,0,,0,0
T2d_H_ring_conspiracy_depopulation,chemtrails_gates_2018_2021,ring,1.375,0.619,4.25,2.875
T2d_H_ring_conspiracy_depopulation,sai_geoengineering,ring,2,0.4082,2.125,0.125
T2d_H_ring_conspiracy_depopulation,paris_agreement,ring,1.75,-0.4729,5,3.25
T2d_H_ring_conspiracy_depopulation,climate_consensus,ring,0.3125,,4.75,4.9375
T2d_H_ring_conspiracy_depopulation,polar_bears,ring,1,,1,0
T2d_H_ring_conspiracy_haarp_weather,scopex_2017,ring,,,,
T2d_H_ring_conspiracy_haarp_weather,chemtrails_gates_2018_2021,ring,1.375,0.9414,3.875,2.5
T2d_H_ring_conspiracy_haarp_weather,sai_geoengineering,ring,1.4375,0.583,2.5,1.0625
T2d_H_ring_conspiracy_haarp_weather,paris_agreement,ring,1.125,-0.4082,4.5,3.375
T2d_H_ring_conspiracy_haarp_weather,climate_consensus,ring,0.1875,,5,4.8125
T2d_H_ring_conspiracy_haarp_weather,polar_bears,ring,0.25,,0.25,0
T2d_H_ring_environmental_concern,scopex_2017,ring,0,,0,0
T2d_H_ring_environmental_concern,chemtrails_gates_2018_2021,ring,0.625,1,1.125,0.5
T2d_H_ring_environmental_concern,sai_geoengineering,ring,2,,2,0
T2d_H_ring_environmental_concern,paris_agreement,ring,0.125,,0.125,0
T2d_H_ring_environmental_concern,climate_consensus,ring,0.375,,0.375,0
T2d_H_ring_environmental_concern,polar_bears,ring,0.875,,0.875,0
T2d_H_ring_mitigation_first_policy,scopex_2017,ring,0,,0,0
T2d_H_ring_mitigation_first_policy,chemtrails_gates_2018_2021,ring,0.6875,1,1,0.3125
T2d_H_ring_mitigation_first_policy,sai_geoengineering,ring,1.625,,1.625,0
T2d_H_ring_mitigation_first_policy,paris_agreement,ring,1.5,,1.5,0
T2d_H_ring_mitigation_first_policy,climate_consensus,ring,0.875,,0.875,0
T2d_H_ring_mitigation_first_policy,polar_bears,ring,0.5,,0.5,0
T2d_H_ring_ozone_stratosphere_specialist,scopex_2017,ring,0,,0,0
T2d_H_ring_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,ring,1,1,1.875,0.875
T2d_H_ring_ozone_stratosphere_specialist,sai_geoengineering,ring,1.125,,1.125,0
T2d_H_ring_ozone_stratosphere_specialist,paris_agreement,ring,,,,
T2d_H_ring_ozone_stratosphere_specialist,climate_consensus,ring,0.625,,0.625,0
T2d_H_ring_ozone_stratosphere_specialist,polar_bears,ring,0.625,,0.625,0
T2d_H_ring_science_journalist,scopex_2017,ring,0,,0,0
T2d_H_ring_science_journalist,chemtrails_gates_2018_2021,ring,0.5,1,1,0.5
T2d_H_ring_science_journalist,sai_geoengineering,ring,1.625,,1.625,0
T2d_H_ring_science_journalist,paris_agreement,ring,0.25,,0.25,0
T2d_H_ring_science_journalist,climate_consensus,ring,1.3125,0.6124,1.375,0.0625
T2d_H_ring_science_journalist,polar_bears,ring,0.375,,0.375,0
T2d_H_scale_free_biodiversity_food_security,scopex_2017,scale_free,1.0142,0.6921,1.2258,0.2206
T2d_H_scale_free_biodiversity_food_security,chemtrails_gates_2018_2021,scale_free,1.0065,0.9949,1.9871,0.9806
T2d_H_scale_free_biodiversity_food_security,sai_geoengineering,scale_free,0.8269,,0.8269,0
T2d_H_scale_free_biodiversity_food_security,paris_agreement,scale_free,0.5229,,0.5229,0
T2d_H_scale_free_biodiversity_food_security,climate_consensus,scale_free,1.4282,0.6793,1.5034,0.0886
T2d_H_scale_free_biodiversity_food_security,polar_bears,scale_free,0.8333,,0.8333,0
T2d_H_scale_free_climate_action_advocate,scopex_2017,scale_free,0.2313,0.8449,0.2517,0.0204
T2d_H_scale_free_climate_action_advocate,chemtrails_gates_2018_2021,scale_free,0.9286,0.9813,1.8636,0.9351
T2d_H_scale_free_climate_action_advocate,sai_geoengineering,scale_free,0.779,,0.7754,0.0036
T2d_H_scale_free_climate_action_advocate,paris_agreement,scale_free,0.0736,,0.0736,0
T2d_H_scale_free_climate_action_advocate,climate_consensus,scale_free,1.2853,0.9356,1.4264,0.1411
T2d_H_scale_free_climate_action_advocate,polar_bears,scale_free,1.4313,,1.4313,0
T2d_H_scale_free_climate_justice_youth,scopex_2017,scale_free,1.7761,0.4812,2.1613,0.4174
T2d_H_scale_free_climate_justice_youth,chemtrails_gates_2018_2021,scale_free,1.0671,0.926,1.8591,0.7919
T2d_H_scale_free_climate_justice_youth,sai_geoengineering,scale_free,0.8784,0.6316,0.9122,0.0338
T2d_H_scale_free_climate_justice_youth,paris_agreement,scale_free,0.3209,-0.25,0.3243,0.0034
T2d_H_scale_free_climate_justice_youth,climate_consensus,scale_free,1.4054,0.9657,1.777,0.4392
T2d_H_scale_free_climate_justice_youth,polar_bears,scale_free,1.2848,,1.2848,0
T2d_H_scale_free_climate_scientist,scopex_2017,scale_free,,,,
T2d_H_scale_free_climate_scientist,chemtrails_gates_2018_2021,scale_free,,,,
T2d_H_scale_free_climate_scientist,sai_geoengineering,scale_free,1.1146,1,1.1389,0.0243
T2d_H_scale_free_climate_scientist,paris_agreement,scale_free,1.102,0.7093,1.1224,0.034
T2d_H_scale_free_climate_scientist,climate_consensus,scale_free,0.4924,,0.4924,0
T2d_H_scale_free_climate_scientist,polar_bears,scale_free,1.5097,,1.5097,0
T2d_H_scale_free_conspiracy_believer,scopex_2017,scale_free,1.8,0.0594,4.3355,2.6803
T2d_H_scale_free_conspiracy_believer,chemtrails_gates_2018_2021,scale_free,1.0538,0.7584,3.8875,2.9012
T2d_H_scale_free_conspiracy_believer,sai_geoengineering,scale_free,,,,
T2d_H_scale_free_conspiracy_believer,paris_agreement,scale_free,,,,
T2d_H_scale_free_conspiracy_believer,climate_consensus,scale_free,0.0323,,4.9677,5
T2d_H_scale_free_conspiracy_believer,polar_bears,scale_free,0.2237,,0.2237,0
T2d_H_scale_free_conspiracy_climate_piggyback,scopex_2017,scale_free,1.1486,0.3817,1.6377,0.7065
T2d_H_scale_free_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,scale_free,1.1935,0.7193,4.013,2.913
T2d_H_scale_free_conspiracy_climate_piggyback,sai_geoengineering,scale_free,1.0584,0.4395,1.2338,0.2078
T2d_H_scale_free_conspiracy_climate_piggyback,paris_agreement,scale_free,0.8758,0.7459,2.1634,1.8654
T2d_H_scale_free_conspiracy_climate_piggyback,climate_consensus,scale_free,0.1475,0.5295,4.1007,4.1115
T2d_H_scale_free_conspiracy_climate_piggyback,polar_bears,scale_free,0.274,,0.274,0
T2d_H_scale_free_conspiracy_depopulation,scopex_2017,scale_free,,,,
T2d_H_scale_free_conspiracy_depopulation,chemtrails_gates_2018_2021,scale_free,0.9223,0.7324,3.6824,2.7872
T2d_H_scale_free_conspiracy_depopulation,sai_geoengineering,scale_free,1.1516,0.5375,1.2,0.1387
T2d_H_scale_free_conspiracy_depopulation,paris_agreement,scale_free,1.6493,-0.2996,4.9552,3.3209
T2d_H_scale_free_conspiracy_depopulation,climate_consensus,scale_free,0.0516,0.875,4.9603,4.9802
T2d_H_scale_free_conspiracy_depopulation,polar_bears,scale_free,0.5,,0.5,0
T2d_H_scale_free_conspiracy_haarp_weather,scopex_2017,scale_free,1.4807,0.1028,4.3373,3.1096
T2d_H_scale_free_conspiracy_haarp_weather,chemtrails_gates_2018_2021,scale_free,0.8301,0.766,3.75,2.9391
T2d_H_scale_free_conspiracy_haarp_weather,sai_geoengineering,scale_free,,,,
T2d_H_scale_free_conspiracy_haarp_weather,paris_agreement,scale_free,1.2381,0.4783,4.4558,3.6395
T2d_H_scale_free_conspiracy_haarp_weather,climate_consensus,scale_free,0.1066,0.5934,4.9706,4.9081
T2d_H_scale_free_conspiracy_haarp_weather,polar_bears,scale_free,0.5645,,0.5645,0
T2d_H_scale_free_environmental_concern,scopex_2017,scale_free,0,,0,0
T2d_H_scale_free_environmental_concern,chemtrails_gates_2018_2021,scale_free,0.5,1,1,0.5
T2d_H_scale_free_environmental_concern,sai_geoengineering,scale_free,,,,
T2d_H_scale_free_environmental_concern,paris_agreement,scale_free,,,,
T2d_H_scale_free_environmental_concern,climate_consensus,scale_free,,,,
T2d_H_scale_free_environmental_concern,polar_bears,scale_free,1.5,,1.5,0
T2d_H_scale_free_mitigation_first_policy,scopex_2017,scale_free,0.0576,,0.0576,0
T2d_H_scale_free_mitigation_first_policy,chemtrails_gates_2018_2021,scale_free,0.0067,1,0.0134,0.0067
T2d_H_scale_free_mitigation_first_policy,sai_geoengineering,scale_free,0.776,0.6124,0.784,0.008
T2d_H_scale_free_mitigation_first_policy,paris_agreement,scale_free,0.686,0.9031,0.6822,0.0349
T2d_H_scale_free_mitigation_first_policy,climate_consensus,scale_free,0.7622,0.7231,0.7832,0.028
T2d_H_scale_free_mitigation_first_policy,polar_bears,scale_free,0.993,,0.993,0
T2d_H_scale_free_ozone_stratosphere_specialist,scopex_2017,scale_free,0.2,,0.2,0
T2d_H_scale_free_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,scale_free,1.2143,0.7674,1.5714,0.3571
T2d_H_scale_free_ozone_stratosphere_specialist,sai_geoengineering,scale_free,0,,0,0
T2d_H_scale_free_ozone_stratosphere_specialist,paris_agreement,scale_free,,,,
T2d_H_scale_free_ozone_stratosphere_specialist,climate_consensus,scale_free,0,,0,0
T2d_H_scale_free_ozone_stratosphere_specialist,polar_bears,scale_free,1.25,,1.25,0
T2d_H_scale_free_science_journalist,scopex_2017,scale_free,0.4592,0.7694,0.5238,0.0714
T2d_H_scale_free_science_journalist,chemtrails_gates_2018_2021,scale_free,,,,
T2d_H_scale_free_science_journalist,sai_geoengineering,scale_free,1.0649,,1.0649,0
T2d_H_scale_free_science_journalist,paris_agreement,scale_free,,,,
T2d_H_scale_free_science_journalist,climate_consensus,scale_free,,,,
T2d_H_scale_free_science_journalist,polar_bears,scale_free,0.9079,1,0.9079,0.0066
T2d_H_small_world_biodiversity_food_security,scopex_2017,small_world,0.5,,0.5,0
T2d_H_small_world_biodiversity_food_security,chemtrails_gates_2018_2021,small_world,0,,0,0
T2d_H_small_world_biodiversity_food_security,sai_geoengineering,small_world,1.3333,,1.3333,0
T2d_H_small_world_biodiversity_food_security,paris_agreement,small_world,1,,1,0
T2d_H_small_world_biodiversity_food_security,climate_consensus,small_world,0,,0,0
T2d_H_small_world_biodiversity_food_security,polar_bears,small_world,1.5393,,1.5393,0
T2d_H_small_world_climate_action_advocate,scopex_2017,small_world,0.9956,0.4686,1.075,0.0794
T2d_H_small_world_climate_action_advocate,chemtrails_gates_2018_2021,small_world,0.9286,0.9634,1.8117,0.8831
T2d_H_small_world_climate_action_advocate,sai_geoengineering,small_world,0.6242,,0.6242,0
T2d_H_small_world_climate_action_advocate,paris_agreement,small_world,0.16,1,0.1533,0.0333
T2d_H_small_world_climate_action_advocate,climate_consensus,small_world,,,,
T2d_H_small_world_climate_action_advocate,polar_bears,small_world,1,,0.9926,0.0074
T2d_H_small_world_climate_justice_youth,scopex_2017,small_world,1.2196,0.49,1.527,0.3142
T2d_H_small_world_climate_justice_youth,chemtrails_gates_2018_2021,small_world,1.0459,0.9292,1.9324,0.8865
T2d_H_small_world_climate_justice_youth,sai_geoengineering,small_world,0.8447,0.2464,0.913,0.0683
T2d_H_small_world_climate_justice_youth,paris_agreement,small_world,0.1097,,0.1097,0
T2d_H_small_world_climate_justice_youth,climate_consensus,small_world,1.1273,0.9899,1.2484,0.2081
T2d_H_small_world_climate_justice_youth,polar_bears,small_world,0.9178,-0.3687,0.9276,0.0164
T2d_H_small_world_climate_scientist,scopex_2017,small_world,0,,0,0
T2d_H_small_world_climate_scientist,chemtrails_gates_2018_2021,small_world,0,,0,0
T2d_H_small_world_climate_scientist,sai_geoengineering,small_world,0.5,,0.5,0
T2d_H_small_world_climate_scientist,paris_agreement,small_world,1,,1,0
T2d_H_small_world_climate_scientist,climate_consensus,small_world,0,,0,0
T2d_H_small_world_climate_scientist,polar_bears,small_world,1.6438,,1.6438,0
T2d_H_small_world_conspiracy_believer,scopex_2017,small_world,2.2109,0.0568,3.9796,2.0544
T2d_H_small_world_conspiracy_believer,chemtrails_gates_2018_2021,small_world,1.1563,0.7418,3.8125,2.6813
T2d_H_small_world_conspiracy_believer,sai_geoengineering,small_world,2.1,-0.186,2.4,0.3
T2d_H_small_world_conspiracy_believer,paris_agreement,small_world,0.5284,-0.0837,4.8514,4.4851
T2d_H_small_world_conspiracy_believer,climate_consensus,small_world,0.0068,,4.726,4.7192
T2d_H_small_world_conspiracy_believer,polar_bears,small_world,0.5576,,0.5576,0
T2d_H_small_world_conspiracy_climate_piggyback,scopex_2017,small_world,1.352,0.3404,2.7237,1.523
T2d_H_small_world_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,small_world,1.6615,0.8032,4.8077,3.1462
T2d_H_small_world_conspiracy_climate_piggyback,sai_geoengineering,small_world,1.5385,0.3666,1.7622,0.2587
T2d_H_small_world_conspiracy_climate_piggyback,paris_agreement,small_world,,,,
T2d_H_small_world_conspiracy_climate_piggyback,climate_consensus,small_world,0.1111,,4.0556,4.1667
T2d_H_small_world_conspiracy_climate_piggyback,polar_bears,small_world,0.7778,,0.7778,0
T2d_H_small_world_conspiracy_depopulation,scopex_2017,small_world,,,,
T2d_H_small_world_conspiracy_depopulation,chemtrails_gates_2018_2021,small_world,0.8613,0.66,4.22,3.5653
T2d_H_small_world_conspiracy_depopulation,sai_geoengineering,small_world,0.9935,0.6846,1.0362,0.1804
T2d_H_small_world_conspiracy_depopulation,paris_agreement,small_world,1.7671,0.0427,4.4194,3.0471
T2d_H_small_world_conspiracy_depopulation,climate_consensus,small_world,,,,
T2d_H_small_world_conspiracy_depopulation,polar_bears,small_world,1.2095,,1.2095,0
T2d_H_small_world_conspiracy_haarp_weather,scopex_2017,small_world,1.9089,-0.0666,3.9481,2.1356
T2d_H_small_world_conspiracy_haarp_weather,chemtrails_gates_2018_2021,small_world,0.7095,0.8434,3.2568,2.5865
T2d_H_small_world_conspiracy_haarp_weather,sai_geoengineering,small_world,1.263,0.3862,1.5274,0.2986
T2d_H_small_world_conspiracy_haarp_weather,paris_agreement,small_world,1.1395,0.4422,4.0132,3.85
T2d_H_small_world_conspiracy_haarp_weather,climate_consensus,small_world,0.163,0.8226,4.1712,4.1342
T2d_H_small_world_conspiracy_haarp_weather,polar_bears,small_world,0.6467,0.3125,0.6533,0.0067
T2d_H_small_world_environmental_concern,scopex_2017,small_world,0,,0,0
T2d_H_small_world_environmental_concern,chemtrails_gates_2018_2021,small_world,1,1,1.8,0.8
T2d_H_small_world_environmental_concern,sai_geoengineering,small_world,1,,1,0
T2d_H_small_world_environmental_concern,paris_agreement,small_world,,,,
T2d_H_small_world_environmental_concern,climate_consensus,small_world,0,,0,0
T2d_H_small_world_environmental_concern,polar_bears,small_world,,,,
T2d_H_small_world_mitigation_first_policy,scopex_2017,small_world,0.8046,1,0.8146,0.0166
T2d_H_small_world_mitigation_first_policy,chemtrails_gates_2018_2021,small_world,0.1434,1,0.1579,0.0211
T2d_H_small_world_mitigation_first_policy,sai_geoengineering,small_world,,,,
T2d_H_small_world_mitigation_first_policy,paris_agreement,small_world,1.0466,1,1.0373,0.0155
T2d_H_small_world_mitigation_first_policy,climate_consensus,small_world,1.2857,0.6763,1.4026,0.1299
T2d_H_small_world_mitigation_first_policy,polar_bears,small_world,0.7975,,0.7975,0
T2d_H_small_world_ozone_stratosphere_specialist,scopex_2017,small_world,0,,0,0
T2d_H_small_world_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,small_world,1.1,0.9826,2.6,1.5
T2d_H_small_world_ozone_stratosphere_specialist,sai_geoengineering,small_world,1,0.6124,1.5,0.5
T2d_H_small_world_ozone_stratosphere_specialist,paris_agreement,small_world,0.3333,,0.3333,0
T2d_H_small_world_ozone_stratosphere_specialist,climate_consensus,small_world,0,,0,0
T2d_H_small_world_ozone_stratosphere_specialist,polar_bears,small_world,2,,2,0
T2d_H_small_world_science_journalist,scopex_2017,small_world,0,,0,0
T2d_H_small_world_science_journalist,chemtrails_gates_2018_2021,small_world,0.0132,1,0.0197,0.0066
T2d_H_small_world_science_journalist,sai_geoengineering,small_world,0.8882,1,0.8882,0.0132
T2d_H_small_world_science_journalist,paris_agreement,small_world,0.8121,1,0.8456,0.047
T2d_H_small_world_science_journalist,climate_consensus,small_world,0.3278,,0.3245,0.0033
T2d_H_small_world_science_journalist,polar_bears,small_world,,,,
T2d_He_echo_chamber_mix_00,scopex_2017,echo_chamber,1.6875,0.0187,4.25,2.5625
T2d_He_echo_chamber_mix_00,chemtrails_gates_2018_2021,echo_chamber,1.1429,0.7422,4,2.8571
T2d_He_echo_chamber_mix_00,sai_geoengineering,echo_chamber,,,,
T2d_He_echo_chamber_mix_00,paris_agreement,echo_chamber,0.6667,-0.4082,4.1667,3.5
T2d_He_echo_chamber_mix_00,climate_consensus,echo_chamber,0,,5,5
T2d_He_echo_chamber_mix_00,polar_bears,echo_chamber,1.3333,,1.3333,0
T2d_He_echo_chamber_mix_01,scopex_2017,echo_chamber,2.2,0.7156,3.6,1.4
T2d_He_echo_chamber_mix_01,chemtrails_gates_2018_2021,echo_chamber,1.08,0.8359,2.6,1.52
T2d_He_echo_chamber_mix_01,sai_geoengineering,echo_chamber,1.6667,,1.6667,0
T2d_He_echo_chamber_mix_01,paris_agreement,echo_chamber,,,,
