
=== 2026-09-19T03:35:37.828Z  node index.js --config thesisExperiment/configs/phase2/T2d_H_scale_free_conspiracy_believer.json
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_believer          0.14   factual_error
node_1       conspiracy_believer          0.11   factual_error
node_2       conspiracy_believer          0.39   factual_error
node_3       conspiracy_believer          0.21   factual_error
node_4       conspiracy_believer          0.20   factual_error
node_5       conspiracy_believer          0.44   factual_error
node_6       conspiracy_believer          0.00   factual_error
node_7       conspiracy_believer          0.32   factual_error
  Gini coefficient:   0.350
  Structural virality: 1.571
